widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
4,nation,5.0,2.0,1.0,NN,root,2.0,2.0,2.0,2.0,-1.0,3,We are one nation and one people .,2,2,12,0.00805369127516779,0.2,1.0,3.0456660541852,0.465413541726763,157,0.00397639490413596,0.0555555555555556,1.0,4.45490017994966,2.21038218285602,one nation,are one nation
5,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,3,We are one nation and one people .,2,2,67,0.0449664429530201,0.166666666666667,1.0,1.51634250610641,0.109282508878916,1549,0.0392320745637363,0.0636942675159236,0.4,2.60053892310722,0.707957414545442,nation and,one nation and
6,one,3.0,1.0,1.0,CD,nummod,2.0,2.0,2.0,2.0,-1.0,3,We are one nation and one people .,2,2,5,0.00335570469798658,0.0149253731343284,0.5,2.04720283838002,0.664385618977472,90,0.00227946204695692,0.0025823111684958,0.2,6.49020124811687,1.79885333322505,and one,nation and one
7,people,5.0,2.0,1.0,NNS,conj:and,1.0,1.0,1.0,1.0,0.0,3,We are one nation and one people .,2,2,9,0.00604026845637584,0.2,1.0,3.19330895664147,0.777777777777778,176,0.00445761466960464,0.0777777777777778,0.5,5.00737579276076,2.28619591351594,one people,and one people
8,.,,,,.,,,,,,,3,We are one nation and one people .,2,2
1,Our,2.0,2.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,32,0.0214765100671141,0.0267857142857143,0.0,2.68814774005552,0.25,904,0.0228959298938784,0.0302040816326531,0.0,3.58738322881247,1.02606624233911,<s> our,
2,fate,3.0,1.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,1,0.000671140939597315,0.03125,0.333333333333333,5.0,1.58496250072116,10,0.000253273560772991,0.00221238938053097,0.0135135135135135,8.05750536197607,3.47176166290562,our fate,<s> our fate
3,as,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,5,0.00335570469798658,1.0,1.0,2.28661275302441,0.2,240,0.00607856545855178,0.1,0.5,4.70152482952495,1.36514601342509,fate as,our fate as
4,a,1.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,32,0.0214765100671141,0.8,1.0,2.08109466916246,0.257710643702911,789,0.019983283944989,0.170833333333333,1.0,3.92641885050008,1.22415491206816,as a,fate as a
5,nation,5.0,2.0,1.0,NN,nmod:as,3.0,3.0,3.0,3.0,-2.0,4,Our fate as a nation and our future as a people rest not upon one citizen but upon all citizens .,4,2,12,0.00805369127516779,0.15625,0.5,3.0456660541852,0.465413541726763,157,0.00397639490413596,0.0544993662864385,0.24390243902439,4.45490017994966,2.21038218285602,a nation,as a nation
