widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3
9,our,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,67,0.0278123702781237,0.0428571428571429,1.0,2.51509619876967,0.104477611940299,904,0.0228959298938784,0.0256629597946963,0.4,3.58738322881247,1.02606624233911
10,Nation,5.0,2.0,1.0,NN,nmod:to,2.0,2.0,2.0,2.0,-1.0,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,12,0.0049813200498132,0.0746268656716418,0.333333333333333,3.49576208908065,1.31702352521502,157,0.00397639490413596,0.0497787610619469,0.0666666666666667,4.45490017994966,2.21038218285602
11,",",,,,",",,,,,,,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6
12,as,2.0,1.0,1.0,RB,cc,4.0,4.0,4.0,4.0,-3.0,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,11,0.0045662100456621,0.00675675675675676,0.25,3.46625606241293,0.62789914505532,240,0.00607856545855178,0.0185840707964602,0.0263157894736842,4.70152482952495,1.36514601342509
13,well,3.0,1.0,1.0,RB,mwe,2.0,2.0,3.0,2.0,-1.25,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,2,0.0008302200083022,0.0909090909090909,1.0,3.02219705967923,0.0,30,0.000759820682318973,0.0625,0.0952380952380952,5.97267476209024,0.715872009557452
14,as,2.0,1.0,1.0,IN,mwe,4.0,4.0,2.0,4.0,-2.5,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,11,0.0045662100456621,0.5,1.0,3.46625606241293,0.62789914505532,240,0.00607856545855178,0.266666666666667,0.533333333333333,4.70152482952495,1.36514601342509
15,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,132,0.0547945205479452,0.272727272727273,1.0,2.23772426369185,0.238897371045777,2261,0.0572651520907732,0.075,0.375,2.74917326769894,0.87789225295395
16,generosity,9.0,5.0,2.0,NN,dobj,3.0,3.0,3.0,3.0,-2.0,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,1,0.0004151100041511,0.00757575757575758,0.333333333333333,7.04439411935845,1.58496250072116,5,0.000126636780386495,0.000884564352056612,0.0555555555555556,9.76121575062397,4.65377646609655
17,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,111,0.0460772104607721,1.0,1.0,1.07091099046614,0.136665991003985,1549,0.0392320745637363,0.2,0.5,2.60053892310722,0.707957414545442
18,cooperation,9.0,5.0,2.0,NN,conj:and,2.0,2.0,2.0,2.0,-1.0,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,2,0.0008302200083022,0.00900900900900901,1.0,4.39720793317505,0.5,7,0.000177291492541094,0.000645577792123951,1.0,7.4781352242352,2.22297292410399
19,he,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,"I thank President Bush for his service to our Nation , as well as the generosity and cooperation he has shown throughout this transition .",7,6,1,0.0004151100041511,0.5,1.0,1.0,0.0,37,0.000937112174860066,0.142857142857143,1.0,5.99141332727227,1.53761968334892
